name,lat,lon
서울두산초등학교,37.467458,126.890844
서울둔촌초등학교,37.526217,127.137466
서울등마초등학교,37.541973,126.861555
서울등명초등학교,37.560920,126.842361
서울등서초등학교,37.551883,126.855050
서울등양초등학교,37.565036,126.844747
서울등원초등학교,37.560642,126.849981
서울등촌초등학교,37.547634,126.857819
서울등현초등학교,37.561375,126.847657
서울마장초등학교,37.568035,127.042719
서울마천초등학교,37.495580,127.151983
서울마포초등학교,37.538605,126.949794
서울망우초등학교,37.598516,127.103301
서울망원초등학교,37.560845,126.900958
서울매동초등학교,37.577538,126.966844
서울매봉초등학교,37.504560,126.844402
서울매헌초등학교,37.471166,127.041922
서울면남초등학교,37.577028,127.088189
서울면동초등학교,37.585454,127.086726
서울면목초등학교,37.590971,127.088073
서울면북초등학교,37.594577,127.103390
서울면일초등학교,37.592053,127.099779
서울면중초등학교 (휴교),37.582408,127.096617
서울명덕초등학교,37.556787,127.146444
서울명신초등학교,37.581661,127.014259
서울명원초등학교,37.551321,127.150571
서울명일초등학교,37.554467,127.142099
서울목동초등학교,37.522789,126.872096
서울목운초등학교,37.526846,126.873579
서울목원초등학교,37.542943,126.882455
서울묘곡초등학교,37.558555,127.153180
서울무학초등학교,37.563263,127.029645
서울묵동초등학교,37.604299,127.081339
서울묵현초등학교,37.608917,127.073653
서울문교초등학교,37.466767,126.908917
서울문덕초등학교,37.485139,127.127956
서울문래초등학교,37.518216,126.893217
서울문백초등학교,37.446933,126.899458
서울문성초등학교,37.474962,126.899461
서울문정초등학교,37.489217,127.129062
서울문창초등학교,37.488858,126.913714
서울문현초등학교,37.482621,127.130127
서울미동초등학교,37.563421,126.965913
서울미래초등학교,37.505121,126.888169
서울미성초등학교,37.478249,126.912571
서울미아초등학교,37.610863,127.021637
서울미양초등학교,37.621243,127.013697
서울반원초등학교,37.510184,127.003941
서울반포초등학교 (휴교),37.503163,126.991025
서울발산초등학교,37.550266,126.831003
서울방배초등학교,37.487460,126.987205
서울방산초등학교,37.509585,127.121103
서울방이초등학교,37.513485,127.120503
서울방일초등학교,37.485511,126.998313
서울방학초등학교,37.664192,127.031853
서울방현초등학교,37.476306,126.990309
서울방화초등학교,37.568887,126.806941
서울배봉초등학교,37.580328,127.066183
서울백산초등학교,37.446808,126.905176
서울백석초등학교,37.553544,126.862158
서울백운초등학교,37.653394,127.013816
서울버들초등학교,37.510356,127.089109
서울번동초등학교,37.629317,127.040388
서울보광초등학교,37.532651,126.996461
서울보라매초등학교,37.495915,126.916079
서울본동초등학교,37.510020,126.953604
서울봉래초등학교,37.556562,126.964214
서울봉은초등학교,37.520151,127.060872
서울봉천초등학교,37.483290,126.958198
서울봉현초등학교,37.491067,126.955330
서울봉화초등학교,37.613610,127.092401
서울북가좌초등학교,37.577708,126.907659
서울북성초등학교,37.559394,126.951817
서울북한산초등학교,37.654174,126.950442
서울불광초등학교,37.613007,126.931165
서울불암초등학교,37.651132,127.080526
서울사근초등학교,37.562984,127.047737
서울사당초등학교,37.473542,126.973849
서울삼각산초등학교,37.616191,127.014743
서울삼광초등학교,37.547299,126.976526
서울삼릉초등학교,37.513126,127.046922
서울삼선초등학교,37.586422,127.012110
서울삼성초등학교,37.467926,126.941164
서울삼양초등학교,37.623795,127.015986
서울삼육초등학교,37.588821,127.047631
서울삼일초등학교,37.488258,126.975165
서울삼전초등학교,37.501750,127.092731
서울삼정초등학교,37.580555,126.810539
서울상경초등학교,37.670452,127.051655
서울상계초등학교,37.659395,127.066122
서울상곡초등학교,37.662734,127.062639
서울상도초등학교,37.500022,126.937303
서울상봉초등학교,37.598420,127.083701
서울상수초등학교,37.652018,127.064864
서울상신초등학교,37.597888,126.904948
서울상암초등학교,37.576470,126.892500
서울상원초등학교,37.667421,127.059696
서울상월초등학교,37.658641,127.057084
서울상일초등학교,37.547223,127.172145
서울상지초등학교,37.579783,126.882212
서울상천초등학교,37.646339,127.057916
서울상현초등학교,37.494926,126.952682
서울새솔초등학교,37.617945,127.111274
서울서강초등학교,37.548393,126.927042
서울서교초등학교,37.555066,126.925098
서울서래초등학교,37.496268,126.989334
서울서빙고초등학교,37.521248,126.992240
서울서신초등학교,37.592450,126.907458
서울서원초등학교,37.502903,127.015390
서울서이초등학교,37.491599,127.026008
서울서일초등학교,37.485139,127.022297
서울서정초등학교,37.524228,126.867507
서울서초초등학교,37.499557,127.023907
서울석계초등학교,37.608574,127.069805
서울석관초등학교,37.611066,127.059080
서울석촌초등학교,37.502919,127.104512
서울선곡초등학교,37.618657,127.058411
서울선린초등학교,37.529649,127.145921
서울선사초등학교,37.556123,127.128589
서울선유초등학교,37.532876,126.892776
서울성내초등학교,37.531391,127.122509
서울성북초등학교,37.593894,126.998111
서울성산초등학교,37.553279,126.911071
서울성서초등학교,37.560727,126.911309
서울성수초등학교,37.544445,127.063119
서울성원초등학교,37.567266,126.905177
서울성일초등학교,37.529543,127.128493
서울성자초등학교,37.531343,127.083133
서울세검정초등학교,37.603096,126.961170
서울세곡초등학교,37.504859,126.849672
서울세륜초등학교,37.518429,127.134035
서울세명초등학교,37.468814,127.090950
서울소의초등학교,37.552593,126.960871
서울송례초등학교,37.477746,127.138435
서울송원초등학교,37.554100,127.069682
서울송전초등학교,37.508596,127.094934
서울송정초등학교,37.562662,126.811118
서울송중초등학교,37.617150,127.031606
서울송천초등학교,37.615948,127.023509
서울송파초등학교,37.507378,127.111092
서울송화초등학교,37.568846,126.817523
서울수락초등학교,37.684290,127.054594
서울수리초등학교,37.620300,126.934071
서울수명초등학교,37.552789,126.824044
서울수색초등학교,37.585047,126.895450
서울수서초등학교,37.491024,127.101560
서울수송초등학교,37.637454,127.033640
서울수암초등학교,37.648134,127.081323
서울수유초등학교,37.630966,127.020233
서울숭곡초등학교,37.608471,127.032798
서울숭덕초등학교,37.604539,127.014079
서울숭례초등학교,37.594959,127.034577
서울숭미초등학교,37.651035,127.027985
서울숭신초등학교,37.567740,127.027963
서울숭의초등학교,37.556304,126.988099
서울숭인초등학교,37.609100,127.038425
서울시흥초등학교,37.455098,126.904976
서울신가초등학교,37.500342,127.119749
서울신강초등학교,37.526096,126.841547
서울신계초등학교,37.630185,127.052624
서울신곡초등학교,37.538877,126.855772
서울신구로초등학교,37.499630,126.889277
서울신구초등학교,37.523487,127.024236
서울신기초등학교,37.511358,126.854326
서울신길초등학교,37.510432,126.926880
서울신남성초등학교,37.488958,126.965056
서울신남초등학교,37.516340,126.844408
서울신내초등학교,37.604518,127.100071
서울신답초등학교,37.573026,127.043070
서울신당초등학교,37.564056,127.023860
서울신대림초등학교,37.492213,126.905942
서울신도림초등학교,37.512271,126.883404
서울신도초등학교,37.632979,126.929252
서울신동초등학교,37.516901,127.012153
서울신림초등학교,37.477113,126.927586
서울신명초등학교,37.540928,127.150012
서울신목초등학교,37.517233,126.872654
서울신묵초등학교,37.607111,127.075349
서울신미림초등학교,37.506814,126.879743
서울신방학초등학교,37.666088,127.029147
서울신봉초등학교,37.485402,126.949174
서울신북초등학교,37.571284,126.904996
서울신사초등학교,37.592798,126.912002
서울신상계초등학교,37.668179,127.075845
서울신상도초등학교,37.500324,126.944120
서울신서초등학교,37.520544,126.862310
서울신석초등학교,37.544301,126.937972
서울신성초등학교,37.471845,126.937173
서울신암초등학교,37.549528,127.124476
서울신양초등학교,37.534840,127.069379
서울신영초등학교,37.500645,126.895798
서울신용산초등학교,37.520486,126.975791
서울신우초등학교,37.462869,126.932795
서울신원초등학교,37.529568,126.829873
서울신월초등학교,37.540460,126.839262
서울신은초등학교,37.513953,126.831990
서울신자초등학교,37.530266,127.075561
서울신정초등학교,37.532765,126.852628
서울신중초등학교,37.480151,127.009343
서울신창초등학교,37.636572,127.041897
서울신천초등학교,37.514013,127.095040
서울신학초등학교,37.661105,127.025405
서울신현초등학교,37.605685,127.093404
서울신화초등학교,37.632662,127.040893
서울신흥초등학교,37.459685,126.908777
서울쌍문초등학교,37.648560,127.024671
서울아주초등학교,37.505842,127.075799
서울아현초등학교,37.555961,126.956079
서울안산초등학교,37.579713,126.951714
서울안암초등학교,37.587520,127.022436
서울안천초등학교,37.458529,126.888311
서울안평초등학교,37.565936,127.072124
서울압구정초등학교,37.531761,127.030923
서울양강초등학교,37.524333,126.847994
서울양남초등학교,37.531060,127.089595
서울양동초등학교,37.525854,126.851254
서울양명초등학교,37.516079,126.856544
서울양목초등학교,37.523767,126.861698
서울양원숲초등학교,37.608994,127.105304
서울양원초등학교,37.538358,126.823490
서울양재초등학교,37.474168,127.031858
서울양전초등학교,37.490352,127.069437
서울양진초등학교,37.544266,127.098283
서울양천초등학교,37.570362,126.839814
서울양화초등학교,37.543957,126.874990
서울어울초등학교,37.606573,126.935085
서울언남초등학교,37.453990,127.061771
서울언북초등학교,37.519848,127.045067
서울언주초등학교,37.486752,127.036779
서울여의도초등학교,37.522612,126.936759
서울역삼초등학교,37.493161,127.032653
서울역촌초등학교,37.602159,126.914329
서울연가초등학교,37.579893,126.917796
서울연광초등학교,37.624291,126.924421
서울연신초등학교,37.626722,126.928510
서울연은초등학교,37.590410,126.925085
서울연지초등학교,37.633789,127.059999
서울연천초등학교,37.620776,126.929486
서울연촌초등학교,37.634985,127.073201
서울연희초등학교,37.569502,126.933903
서울염경초등학교,37.555128,126.871196
서울염동초등학교,37.552448,126.872432
서울염리초등학교,37.542705,126.946098
서울염창초등학교,37.553163,126.867704
서울영남초등학교,37.475439,126.909888
서울영도초등학교,37.535901,126.871966
서울영동초등학교,37.526856,126.907650
서울영등포초등학교,37.512908,126.898274
서울영림초등학교,37.487341,126.902524
서울영문초등학교,37.519620,126.887632
서울영본초등학교,37.510746,126.948548
서울영서초등학교,37.488506,126.894920
서울영신초등학교,37.510076,126.917994
서울영원초등학교,37.510767,126.902249
서울영일초등학교,37.485457,126.883830
서울영중초등학교,37.523854,126.903934
서울영풍초등학교,37.496222,127.143155
서울영화초등학교,37.509116,126.932889
서울영희초등학교,37.492345,127.081072
서울오금초등학교,37.509516,127.131608
서울오류남초등학교,37.489685,126.838499
서울오류초등학교,37.498384,126.842447
서울오륜초등학교,37.512432,127.134422
서울오봉초등학교,37.671797,127.040430
서울오정초등학교,37.489369,126.826215
서울오현초등학교,37.623466,127.046588
서울옥수초등학교,37.546132,127.022017
서울옥정초등학교,37.542010,127.015561
서울온곡초등학교,37.667670,127.066043
서울온수초등학교,37.494162,126.825978
서울왕북초등학교,37.486467,127.086073
서울용강초등학교,37.548719,126.943971
서울용곡초등학교,37.567079,127.088582
서울용답초등학교,37.560707,127.053711
서울용동초등학교,37.641871,127.069297
서울용두초등학교,37.576152,127.028808
서울용마초등학교,37.558261,127.084437
서울용산초등학교,37.535603,126.972540
서울용암초등학교,37.545316,126.989549
서울용원초등학교,37.629614,127.068776
서울우면초등학교,37.464623,127.023692
서울우솔초등학교,37.457174,127.019657
서울우신초등학교,37.509581,126.911480
서울우암초등학교,37.472130,127.024310
서울우이초등학교,37.638733,127.014579
서울우장초등학교,37.549122,126.846043
서울원광초등학교,37.654399,127.074954
서울원당초등학교,37.481380,126.956476
서울원명초등학교,37.500812,127.016918
서울원묵초등학교,37.617935,127.086335
서울원신초등학교,37.467154,126.927080
서울원촌초등학교,37.506103,127.012694
서울원효초등학교,37.536083,126.951475
서울월계초등학교,37.627821,127.050695
서울월계초등학교 놀마루,37.627348,127.050615
서울월곡초등학교,37.610005,127.046186
서울월정초등학교,37.534790,126.836134
서울월천초등학교,37.648194,127.052342
서울월촌초등학교,37.540386,126.876478
서울위례별초등학교,37.478928,127.144786
서울위례솔초등학교,37.486730,127.150744
서울위례초등학교,37.522384,127.139418
서울유현초등학교,37.631655,127.011447
서울윤중초등학교,37.519857,126.922934
서울율현초등학교,37.474490,127.108271
서울은로초등학교,37.503272,126.960073
서울은명초등학교,37.597643,126.918723
서울은빛초등학교,37.642620,126.919145
서울은정초등학교,37.511284,126.867077
서울은진초등학교,37.632988,126.921014
서울은천초등학교,37.486866,126.942882
서울은평초등학교,37.602053,126.934418
서울을지초등학교,37.650698,127.073217
서울응봉초등학교,37.550252,127.033855
서울응암초등학교,37.588426,126.921826
서울이문초등학교,37.602254,127.064357
서울이수초등학교,37.478467,126.984588
서울이태원초등학교,37.535999,126.988066
서울인수초등학교,37.642900,127.009681
서울인왕초등학교,37.590306,126.944759
서울인헌초등학교,37.476699,126.960078
서울일신초등학교,37.598900,127.040322
서울일원초등학교,37.489822,127.076135
서울자곡초등학교,37.472292,127.099627
서울자양초등학교,37.537021,127.079618
서울자운초등학교,37.657893,127.046610
서울잠동초등학교,37.518348,127.099919
서울잠신초등학교,37.514213,127.087987
서울잠실초등학교,37.520212,127.111414
서울잠원초등학교,37.501974,126.997928
서울잠일초등학교,37.515064,127.081423
서울잠전초등학교,37.507112,127.084341
서울잠현초등학교,37.522478,127.104635
서울장곡초등학교,37.616884,127.048347
서울장수초등학교,37.512955,126.845203
서울장안초등학교,37.550170,127.072222
서울장월초등학교,37.622082,127.047362
서울장위초등학교,37.612081,127.050015
서울장충초등학교,37.559922,127.011309
서울장평초등학교,37.573784,127.073316
서울재동초등학교,37.579935,126.985572
서울전곡초등학교,37.580524,127.056506
서울전농초등학교,37.574773,127.054401
서울전동초등학교,37.579460,127.061496
서울정곡초등학교,37.576935,126.818893
서울정덕초등학교,37.597776,127.013448
서울정릉초등학교,37.619911,127.005297
서울정목초등학교,37.537226,126.870267
서울정수초등학교,37.603895,127.007887
서울정심초등학교,37.471679,126.908409
서울조원초등학교,37.484244,126.909606
서울종암초등학교,37.582206,127.031419
서울중계초등학교,37.657704,127.073472
서울중곡초등학교,37.574489,127.083353
서울중광초등학교,37.565223,127.082604
서울중대초등학교,37.499811,127.113564
서울중동초등학교,37.566842,126.911693
서울중랑초등학교,37.589613,127.075444
서울중마초등학교,37.566109,127.080125
서울중목초등학교,37.590166,127.079445
서울중원초등학교,37.643829,127.062790
서울중평초등학교,37.637647,127.064013
서울중현초등학교,37.632470,127.066420
서울중화초등학교,37.602949,127.094519
서울중흥초등학교,37.601708,127.083976
서울증산초등학교,37.582380,126.904484
서울지향초등학교,37.513128,126.837204
서울진관초등학교,37.645474,126.929104
서울창경초등학교,37.656543,127.034859
서울창도초등학교,37.664023,127.049393
서울창동초등학교,37.654868,127.045212
서울창림초등학교,37.643351,127.041325
서울창서초등학교,37.557709,126.933583
서울창신초등학교,37.576014,127.014295
서울창원초등학교,37.652526,127.040628
서울창일초등학교,37.647658,127.047517
서울창천초등학교,37.554999,126.939715
서울천동초등학교,37.540777,127.137963
서울천왕초등학교,37.481603,126.836996
서울천일초등학교,37.544267,127.133307
서울천호초등학교,37.547396,127.136454
서울청계초등학교,37.645059,127.066115
서울청구초등학교,37.558767,127.014264
서울청담초등학교,37.528307,127.045153
서울청덕초등학교,37.612047,127.000331
서울청량초등학교,37.592024,127.055944
서울청룡초등학교,37.475806,126.951229
서울청운초등학교,37.585965,126.969299
서울청파초등학교,37.547988,126.964300
서울초당초등학교,37.658474,127.022176
서울충무초등학교,37.561829,127.001883
서울치현초등학교,37.575923,126.814558
서울탑동초등학교,37.452625,126.914716
서울탑산초등학교,37.567096,126.852453
서울태랑초등학교,37.626233,127.090837
서울태릉초등학교,37.622886,127.084843
서울토성초등학교,37.531791,127.115631
서울평화초등학교,37.491610,127.122756
서울포이초등학교,37.476056,127.052724
서울풍납초등학교,37.535194,127.118184
서울풍성초등학교,37.526293,127.113518
서울하늘숲초등학교,37.484317,126.841677
서울하늘초등학교,37.585411,126.880817
서울학동초등학교,37.512527,127.039593
서울한강초등학교,37.525218,126.965080
서울한남초등학교,37.539405,127.004924
서울한산초등학교,37.528489,127.141512
서울한서초등학교,37.553634,126.949748
서울한천초등학교,37.620511,127.068851
서울항동초등학교,37.476967,126.824045
서울해누리초등학교,37.498652,127.102491
서울행당초등학교,37.556548,127.034636
서울행림초등학교,37.483040,126.964574
서울행현초등학교,37.557713,127.029421
서울혜화초등학교,37.589122,126.999914
서울홍릉초등학교,37.591088,127.047202
서울홍연초등학교,37.581962,126.930813
서울홍은초등학교,37.597555,126.949469
서울홍제초등학교,37.592911,126.944105
서울홍파초등학교,37.586157,127.039391
서울화계초등학교,37.624214,127.029067
서울화곡초등학교,37.543060,126.845797
서울화일초등학교,37.540727,126.847423
서울효제초등학교,37.573167,127.003065
서울후암초등학교,37.551290,126.982373
서울휘경초등학교,37.585862,127.058400
서울휘봉초등학교,37.586373,127.070215
서울흑석초등학교,37.508431,126.965250
서울흥인초등학교,37.561097,127.014691
선일초등학교,37.619737,126.913415
성동초등학교,37.533147,127.089512
성신초등학교,37.594068,127.023140
세종초등학교,37.553017,127.072868
신광초등학교,37.542724,126.970562
영훈초등학교,37.613231,127.027901
예일초등학교,37.610398,126.914410
우촌초등학교,37.595609,127.011441
운현초등학교,37.576198,126.988326
유석초등학교,37.560812,126.853756
은석초등학교,37.578585,127.075750
이화여자대학교사범대학부속초등학교,37.561304,126.942739
중앙대학교 사범대학 부속초등학교,37.505290,126.959932
청원초등학교,37.665575,127.061036
추계초등학교,37.563798,126.953146
충암초등학교,37.585428,126.922500
태강삼육초등학교,37.642200,127.110731
학력인정서현성인초등학교,37.512302,126.915544
한신초등학교,37.653264,127.032646
한양초등학교,37.557559,127.050391
홍익대학교 사범대학 부속초등학교,37.559613,126.913372
화랑초등학교,37.628227,127.093844
